symbol,header,message,date,amount
ABM,Dividend,ABM announced a cash dividend of 0.265 with an ex-date of Apr. 3 2025,2025-04-03,0.265
NHI,Dividend,NHI announced a cash dividend of 0.90 with an ex-date of Mar. 31 2025,2025-03-31,0.90
BNL,Dividend,BNL announced a cash dividend of 0.29 with an ex-date of Mar. 31 2025,2025-03-31,0.29
BXMT,Dividend,BXMT announced a cash dividend of 0.47 with an ex-date of Mar. 31 2025,2025-03-31,0.47
AKR,Dividend,AKR announced a cash dividend of 0.20 with an ex-date of Mar. 31 2025,2025-03-31,0.20
GRP-UN,Dividend,GRP-UN announced a cash dividend of 0.283 with an ex-date of Mar. 31 2025,2025-03-31,0.283
CNXC,Dividend,CNXC announced a cash dividend of 0.333 with an ex-date of Apr. 25 2025,2025-04-25,0.333
CVBF,Dividend,CVBF announced a cash dividend of 0.20 with an ex-date of Apr. 2 2025,2025-04-02,0.20
PK,Dividend,PK announced a cash dividend of 0.25 with an ex-date of Mar. 31 2025,2025-03-31,0.25
BKU,Dividend,BKU announced a cash dividend of 0.31 with an ex-date of Apr. 11 2025,2025-04-11,0.31
MGRC,Dividend,MGRC announced a cash dividend of 0.485 with an ex-date of Apr. 16 2025,2025-04-16,0.485
AAP,Dividend,AAP announced a cash dividend of 0.25 with an ex-date of Apr. 11 2025,2025-04-11,0.25
INDB,Dividend,INDB announced a cash dividend of 0.59 with an ex-date of Mar. 31 2025,2025-03-31,0.59
FCPT,Dividend,FCPT announced a cash dividend of 0.355 with an ex-date of Mar. 31 2025,2025-03-31,0.355
BKE,Dividend,BKE announced a cash dividend of 0.35 with an ex-date of Apr. 15 2025,2025-04-15,0.35
KWR,Dividend,KWR announced a cash dividend of 0.485 with an ex-date of Apr. 16 2025,2025-04-16,0.485
LXP,Dividend,LXP announced a cash dividend of 0.135 with an ex-date of Mar. 31 2025,2025-03-31,0.135
UTF,Dividend,UTF announced a cash dividend of 0.155 with an ex-date of Apr. 8 2025,2025-04-08,0.155
SHO,Dividend,SHO announced a cash dividend of 0.09 with an ex-date of Mar. 31 2025,2025-03-31,0.09
IVT,Dividend,IVT announced a cash dividend of 0.238 with an ex-date of Mar. 31 2025,2025-03-31,0.238
WLY,Dividend,WLY announced a cash dividend of 0.352 with an ex-date of Apr. 8 2025,2025-04-08,0.352
WB,Dividend,WB announced a cash dividend of 0.82 with an ex-date of Apr. 9 2025,2025-04-09,0.82
WERN,Dividend,WERN announced a cash dividend of 0.14 with an ex-date of Apr. 14 2025,2025-04-14,0.14
GDV,Dividend,GDV announced a cash dividend of 0.14 with an ex-date of Apr. 15 2025,2025-04-15,0.14
DBRG,Dividend,DBRG announced a cash dividend of 0.01 with an ex-date of Mar. 31 2025,2025-03-31,0.01
CCU,Dividend,CCU announced a cash dividend of 0.216 with an ex-date of Apr. 24 2025,2025-04-24,0.216
IIPR,Dividend,IIPR announced a cash dividend of 1.90 with an ex-date of Mar. 31 2025,2025-03-31,1.90
OFG,Dividend,OFG announced a cash dividend of 0.30 with an ex-date of Mar. 31 2025,2025-03-31,0.30
PSEC,Dividend,PSEC announced a cash dividend of 0.045 with an ex-date of Apr. 28 2025,2025-04-28,0.045
OXLC,Dividend,OXLC announced a cash dividend of 0.09 with an ex-date of Apr. 16 2025,2025-04-16,0.09
VRE,Dividend,VRE announced a cash dividend of 0.08 with an ex-date of Mar. 31 2025,2025-03-31,0.08
FINV,Dividend,FINV announced a cash dividend of 0.277 with an ex-date of Apr. 16 2025,2025-04-16,0.277
WWW,Dividend,WWW announced a cash dividend of 0.10 with an ex-date of Apr. 1 2025,2025-04-01,0.10
FBNC,Dividend,FBNC announced a cash dividend of 0.22 with an ex-date of Mar. 31 2025,2025-03-31,0.22
CHCO,Dividend,CHCO announced a cash dividend of 0.79 with an ex-date of Apr. 15 2025,2025-04-15,0.79
SAND,Dividend,SAND announced a cash dividend of 0.02 with an ex-date of Apr. 14 2025,2025-04-14,0.02
DNUT,Dividend,DNUT announced a cash dividend of 0.035 with an ex-date of Apr. 23 2025,2025-04-23,0.035
BHE,Dividend,BHE announced a cash dividend of 0.17 with an ex-date of Mar. 31 2025,2025-03-31,0.17
RQI,Dividend,RQI announced a cash dividend of 0.08 with an ex-date of Apr. 8 2025,2025-04-08,0.08
PEB,Dividend,PEB announced a cash dividend of 0.01 with an ex-date of Mar. 31 2025,2025-03-31,0.01
WKC,Dividend,WKC announced a cash dividend of 0.17 with an ex-date of Mar. 31 2025,2025-03-31,0.17
XHR,Dividend,XHR announced a cash dividend of 0.14 with an ex-date of Mar. 31 2025,2025-03-31,0.14
UPBD,Dividend,UPBD announced a cash dividend of 0.39 with an ex-date of Apr. 2 2025,2025-04-02,0.39
RLJ,Dividend,RLJ announced a cash dividend of 0.15 with an ex-date of Mar. 31 2025,2025-03-31,0.15
VRTS,Dividend,VRTS announced a cash dividend of 2.25 with an ex-date of Apr. 30 2025,2025-04-30,2.25
VET,Dividend,VET announced a cash dividend of 0.13 with an ex-date of Mar. 31 2025,2025-03-31,0.13
HLIO,Dividend,HLIO announced a cash dividend of 0.09 with an ex-date of Apr. 4 2025,2025-04-04,0.09
LADR,Dividend,LADR announced a cash dividend of 0.23 with an ex-date of Mar. 31 2025,2025-03-31,0.23
GSBD,Dividend,GSBD announced a cash dividend of 0.32 with an ex-date of Mar. 31 2025,2025-03-31,0.32
WGO,Dividend,WGO announced a cash dividend of 0.34 with an ex-date of Apr. 16 2025,2025-04-16,0.34
KW,Dividend,KW announced a cash dividend of 0.12 with an ex-date of Mar. 31 2025,2025-03-31,0.12
ANDE,Dividend,ANDE announced a cash dividend of 0.195 with an ex-date of Apr. 1 2025,2025-04-01,0.195
UVV,Dividend,UVV announced a cash dividend of 0.81 with an ex-date of Apr. 14 2025,2025-04-14,0.81
DCOM,Dividend,DCOM announced a cash dividend of 0.25 with an ex-date of Apr. 17 2025,2025-04-17,0.25
SAFE,Dividend,SAFE announced a cash dividend of 0.177 with an ex-date of Mar. 31 2025,2025-03-31,0.177
BFS,Dividend,BFS announced a cash dividend of 0.59 with an ex-date of Apr. 15 2025,2025-04-15,0.59
SCS,Dividend,SCS announced a cash dividend of 0.10 with an ex-date of Apr. 7 2025,2025-04-07,0.10
FORTY,Dividend,FORTY announced a cash dividend of 0.941 with an ex-date of Apr. 30 2025,2025-04-30,0.941
OUTKY,Dividend,OUTKY announced a cash dividend of 0.071 with an ex-date of Apr. 7 2025,2025-04-07,0.071
OXM,Dividend,OXM announced a cash dividend of 0.69 with an ex-date of Apr. 17 2025,2025-04-17,0.69
UTZ,Dividend,UTZ announced a cash dividend of 0.061 with an ex-date of Apr. 7 2025,2025-04-07,0.061
ARI,Dividend,ARI announced a cash dividend of 0.25 with an ex-date of Mar. 31 2025,2025-03-31,0.25
MOMO,Dividend,MOMO announced a cash dividend of 0.30 with an ex-date of Apr. 11 2025,2025-04-11,0.30
CBRL,Dividend,CBRL announced a cash dividend of 0.25 with an ex-date of Apr. 11 2025,2025-04-11,0.25
TWO,Dividend,TWO announced a cash dividend of 0.45 with an ex-date of Apr. 4 2025,2025-04-04,0.45
RC,Dividend,RC announced a cash dividend of 0.125 with an ex-date of Mar. 31 2025,2025-03-31,0.125
CIM,Dividend,CIM announced a cash dividend of 0.37 with an ex-date of Mar. 31 2025,2025-03-31,0.37
PFBC,Dividend,PFBC announced a cash dividend of 0.75 with an ex-date of Apr. 7 2025,2025-04-07,0.75
EFC,Dividend,EFC announced a cash dividend of 0.13 with an ex-date of Mar. 31 2025,2025-03-31,0.13
FPF,Dividend,FPF announced a cash dividend of 0.138 with an ex-date of Apr. 1 2025,2025-04-01,0.138
PMT,Dividend,PMT announced a cash dividend of 0.40 with an ex-date of Apr. 11 2025,2025-04-11,0.40
IGIC,Dividend,IGIC announced a cash dividend of 0.85 with an ex-date of Apr. 4 2025,2025-04-04,0.85
ARR,Dividend,ARR announced a cash dividend of 0.24 with an ex-date of Apr. 15 2025,2025-04-15,0.24
MFA,Dividend,MFA announced a cash dividend of 0.36 with an ex-date of Mar. 31 2025,2025-03-31,0.36
FBRT,Dividend,FBRT announced a cash dividend of 0.355 with an ex-date of Mar. 31 2025,2025-03-31,0.355
BELFA,Dividend,BELFA announced a cash dividend of 0.06 with an ex-date of Apr. 15 2025,2025-04-15,0.06
XRX,Dividend,XRX announced a cash dividend of 0.125 with an ex-date of Mar. 31 2025,2025-03-31,0.125
CRF,Dividend,CRF announced a cash dividend of 0.117 with an ex-date of Apr. 15 2025,2025-04-15,0.117
RNP,Dividend,RNP announced a cash dividend of 0.136 with an ex-date of Apr. 8 2025,2025-04-08,0.136
LX,Dividend,LX announced a cash dividend of 0.11 with an ex-date of Apr. 17 2025,2025-04-17,0.11
BDN,Dividend,BDN announced a cash dividend of 0.15 with an ex-date of Apr. 3 2025,2025-04-03,0.15
ECC,Dividend,ECC announced a cash dividend of 0.14 with an ex-date of Apr. 10 2025,2025-04-10,0.14
OPFI,Dividend,OPFI announced a cash dividend of 0.25 with an ex-date of Apr. 8 2025,2025-04-08,0.25
AWF,Dividend,AWF announced a cash dividend of 0.065 with an ex-date of Apr. 3 2025,2025-04-03,0.065
SCVL,Dividend,SCVL announced a cash dividend of 0.15 with an ex-date of Apr. 7 2025,2025-04-07,0.15
TRIN,Dividend,TRIN announced a cash dividend of 0.51 with an ex-date of Mar. 31 2025,2025-03-31,0.51
AIO,Dividend,AIO announced a cash dividend of 0.15 with an ex-date of Apr. 11 2025,2025-04-11,0.15
PLYM,Dividend,PLYM announced a cash dividend of 0.24 with an ex-date of Mar. 31 2025,2025-03-31,0.24
FFC,Dividend,FFC announced a cash dividend of 0.092 with an ex-date of Apr. 23 2025,2025-04-23,0.092
BRSP,Dividend,BRSP announced a cash dividend of 0.16 with an ex-date of Mar. 31 2025,2025-03-31,0.16
WNC,Dividend,WNC announced a cash dividend of 0.08 with an ex-date of Apr. 3 2025,2025-04-03,0.08
WSR,Dividend,WSR announced a cash dividend of 0.045 with an ex-date of Apr. 1 2025,2025-04-01,0.045
KREF,Dividend,KREF announced a cash dividend of 0.25 with an ex-date of Mar. 31 2025,2025-03-31,0.25
EQBK,Dividend,EQBK announced a cash dividend of 0.15 with an ex-date of Mar. 31 2025,2025-03-31,0.15
CCAP,Dividend,CCAP announced a cash dividend of 0.42 with an ex-date of Mar. 31 2025,2025-03-31,0.42
HBNC,Dividend,HBNC announced a cash dividend of 0.16 with an ex-date of Apr. 4 2025,2025-04-04,0.16
GSBC,Dividend,GSBC announced a cash dividend of 0.40 with an ex-date of Mar. 31 2025,2025-03-31,0.40
VMO,Dividend,VMO announced a cash dividend of 0.062 with an ex-date of Apr. 16 2025,2025-04-16,0.062
ORC,Dividend,ORC announced a cash dividend of 0.12 with an ex-date of Mar. 31 2025,2025-03-31,0.12
PLPC,Dividend,PLPC announced a cash dividend of 0.20 with an ex-date of Apr. 1 2025,2025-04-01,0.20
VVR,Dividend,VVR announced a cash dividend of 0.038 with an ex-date of Apr. 16 2025,2025-04-16,0.038
CAC,Dividend,CAC announced a cash dividend of 0.42 with an ex-date of Apr. 15 2025,2025-04-15,0.42
GGN,Dividend,GGN announced a cash dividend of 0.03 with an ex-date of Apr. 15 2025,2025-04-15,0.03
EMO,Dividend,EMO announced a cash dividend of 0.36 with an ex-date of Apr. 23 2025,2025-04-23,0.36
SCHL,Dividend,SCHL announced a cash dividend of 0.20 with an ex-date of Apr. 30 2025,2025-04-30,0.20
MGIC,Dividend,MGIC announced a cash dividend of 0.327 with an ex-date of Apr. 22 2025,2025-04-22,0.327
WASH,Dividend,WASH announced a cash dividend of 0.56 with an ex-date of Apr. 1 2025,2025-04-01,0.56
FPI,Dividend,FPI announced a cash dividend of 0.06 with an ex-date of Apr. 1 2025,2025-04-01,0.06
NYMT,Dividend,NYMT announced a cash dividend of 0.20 with an ex-date of Mar. 31 2025,2025-03-31,0.20
EMD,Dividend,EMD announced a cash dividend of 0.09 with an ex-date of Apr. 23 2025,2025-04-23,0.09
BGS,Dividend,BGS announced a cash dividend of 0.19 with an ex-date of Mar. 31 2025,2025-03-31,0.19
IIM,Dividend,IIM announced a cash dividend of 0.077 with an ex-date of Apr. 16 2025,2025-04-16,0.077
MMU,Dividend,MMU announced a cash dividend of 0.054 with an ex-date of Apr. 23 2025,2025-04-23,0.054
EBF,Dividend,EBF announced a cash dividend of 0.25 with an ex-date of Apr. 14 2025,2025-04-14,0.25
VGM,Dividend,VGM announced a cash dividend of 0.065 with an ex-date of Apr. 16 2025,2025-04-16,0.065
BGB,Dividend,BGB announced a cash dividend of 0.089 with an ex-date of Apr. 23 2025,2025-04-23,0.089
VKQ,Dividend,VKQ announced a cash dividend of 0.063 with an ex-date of Apr. 16 2025,2025-04-16,0.063
PBT,Dividend,PBT announced a cash dividend of 0.018 with an ex-date of Mar. 31 2025,2025-03-31,0.018
THFF,Dividend,THFF announced a cash dividend of 0.51 with an ex-date of Apr. 1 2025,2025-04-01,0.51
VCV,Dividend,VCV announced a cash dividend of 0.065 with an ex-date of Apr. 16 2025,2025-04-16,0.065
IQI,Dividend,IQI announced a cash dividend of 0.063 with an ex-date of Apr. 16 2025,2025-04-16,0.063
HONE,Dividend,HONE announced a cash dividend of 0.09 with an ex-date of Apr. 9 2025,2025-04-09,0.09
GHY,Dividend,GHY announced a cash dividend of 0.105 with an ex-date of Apr. 10 2025,2025-04-10,0.105
WIW,Dividend,WIW announced a cash dividend of 0.062 with an ex-date of Apr. 23 2025,2025-04-23,0.062
IVR,Dividend,IVR announced a cash dividend of 0.34 with an ex-date of Apr. 7 2025,2025-04-07,0.34
TYG,Dividend,TYG announced a cash dividend of 0.365 with an ex-date of Apr. 23 2025,2025-04-23,0.365
VLGEA,Dividend,VLGEA announced a cash dividend of 0.25 with an ex-date of Apr. 3 2025,2025-04-03,0.25
ISD,Dividend,ISD announced a cash dividend of 0.105 with an ex-date of Apr. 10 2025,2025-04-10,0.105
CVGW,Dividend,CVGW announced a cash dividend of 0.20 with an ex-date of Apr. 1 2025,2025-04-01,0.20
VBNK,Dividend,VBNK announced a cash dividend of 0.025 with an ex-date of Apr. 4 2025,2025-04-04,0.025
CLDT,Dividend,CLDT announced a cash dividend of 0.09 with an ex-date of Mar. 31 2025,2025-03-31,0.09
MEI,Dividend,MEI announced a cash dividend of 0.14 with an ex-date of Apr. 17 2025,2025-04-17,0.14
LMNR,Dividend,LMNR announced a cash dividend of 0.075 with an ex-date of Mar. 31 2025,2025-03-31,0.075
YRD,Dividend,YRD announced a cash dividend of 0.22 with an ex-date of Apr. 30 2025,2025-04-30,0.22
DPG,Dividend,DPG announced a cash dividend of 0.07 with an ex-date of Apr. 30 2025,2025-04-30,0.07
WDH,Dividend,WDH announced a cash dividend of 0.02 with an ex-date of Apr. 11 2025,2025-04-11,0.02
IGD,Dividend,IGD announced a cash dividend of 0.05 with an ex-date of Apr. 1 2025,2025-04-01,0.05
JILL,Dividend,JILL announced a cash dividend of 0.08 with an ex-date of Apr. 2 2025,2025-04-02,0.08
OFLX,Dividend,OFLX announced a cash dividend of 0.34 with an ex-date of Apr. 10 2025,2025-04-10,0.34
DFP,Dividend,DFP announced a cash dividend of 0.115 with an ex-date of Apr. 23 2025,2025-04-23,0.115
RWAY,Dividend,RWAY announced a cash dividend of 0.36 with an ex-date of Mar. 31 2025,2025-03-31,0.36
EAD,Dividend,EAD announced a cash dividend of 0.054 with an ex-date of Apr. 11 2025,2025-04-11,0.054
CWCO,Dividend,CWCO announced a cash dividend of 0.11 with an ex-date of Apr. 1 2025,2025-04-01,0.11
TRAK,Dividend,TRAK announced a cash dividend of 0.018 with an ex-date of Mar. 31 2025,2025-03-31,0.018
PKST,Dividend,PKST announced a cash dividend of 0.225 with an ex-date of Mar. 31 2025,2025-03-31,0.225
GUT,Dividend,GUT announced a cash dividend of 0.05 with an ex-date of Apr. 15 2025,2025-04-15,0.05
VKI,Dividend,VKI announced a cash dividend of 0.056 with an ex-date of Apr. 16 2025,2025-04-16,0.056
FMAO,Dividend,FMAO announced a cash dividend of 0.221 with an ex-date of Apr. 4 2025,2025-04-04,0.221
GNTY,Dividend,GNTY announced a cash dividend of 0.25 with an ex-date of Mar. 31 2025,2025-03-31,0.25
HIX,Dividend,HIX announced a cash dividend of 0.049 with an ex-date of Apr. 23 2025,2025-04-23,0.049
HIO,Dividend,HIO announced a cash dividend of 0.036 with an ex-date of Apr. 23 2025,2025-04-23,0.036
SCM,Dividend,SCM announced a cash dividend of 0.133 with an ex-date of Mar. 31 2025,2025-03-31,0.133
HRZN,Dividend,HRZN announced a cash dividend of 0.11 with an ex-date of Apr. 16 2025,2025-04-16,0.11
KIO,Dividend,KIO announced a cash dividend of 0.122 with an ex-date of Apr. 11 2025,2025-04-11,0.122
NLCP,Dividend,NLCP announced a cash dividend of 0.43 with an ex-date of Mar. 31 2025,2025-03-31,0.43
FOF,Dividend,FOF announced a cash dividend of 0.087 with an ex-date of Apr. 8 2025,2025-04-08,0.087
JOUT,Dividend,JOUT announced a cash dividend of 0.33 with an ex-date of Apr. 10 2025,2025-04-10,0.33
SOR,Dividend,SOR announced a cash dividend of 0.208 with an ex-date of Apr. 16 2025,2025-04-16,0.208
ACRE,Dividend,ACRE announced a cash dividend of 0.15 with an ex-date of Mar. 31 2025,2025-03-31,0.15
SAR,Dividend,SAR announced a cash dividend of 0.25 with an ex-date of Apr. 8 2025,2025-04-08,0.25
NCV,Dividend,NCV announced a cash dividend of 0.136 with an ex-date of Apr. 11 2025,2025-04-11,0.136
BGH,Dividend,BGH announced a cash dividend of 0.122 with an ex-date of Apr. 21 2025,2025-04-21,0.122
AFB,Dividend,AFB announced a cash dividend of 0.04 with an ex-date of Apr. 3 2025,2025-04-03,0.04
RFI,Dividend,RFI announced a cash dividend of 0.08 with an ex-date of Apr. 8 2025,2025-04-08,0.08
NECB,Dividend,NECB announced a cash dividend of 0.20 with an ex-date of Apr. 7 2025,2025-04-07,0.20
NBH,Dividend,NBH announced a cash dividend of 0.054 with an ex-date of Mar. 31 2025,2025-03-31,0.054
REFI,Dividend,REFI announced a cash dividend of 0.47 with an ex-date of Mar. 31 2025,2025-03-31,0.47
INBK,Dividend,INBK announced a cash dividend of 0.06 with an ex-date of Mar. 31 2025,2025-03-31,0.06
FNLC,Dividend,FNLC announced a cash dividend of 0.36 with an ex-date of Apr. 8 2025,2025-04-08,0.36
SCD,Dividend,SCD announced a cash dividend of 0.12 with an ex-date of Apr. 23 2025,2025-04-23,0.12
EDD,Dividend,EDD announced a cash dividend of 0.16 with an ex-date of Mar. 31 2025,2025-03-31,0.16
OIA,Dividend,OIA announced a cash dividend of 0.029 with an ex-date of Apr. 16 2025,2025-04-16,0.029
PKE,Dividend,PKE announced a cash dividend of 0.125 with an ex-date of Apr. 2 2025,2025-04-02,0.125
FVR,Dividend,FVR announced a cash dividend of 0.215 with an ex-date of Mar. 31 2025,2025-03-31,0.215
IMMR,Dividend,IMMR announced a cash dividend of 0.045 with an ex-date of Apr. 14 2025,2025-04-14,0.045
HYI,Dividend,HYI announced a cash dividend of 0.095 with an ex-date of Apr. 23 2025,2025-04-23,0.095
FCT,Dividend,FCT announced a cash dividend of 0.097 with an ex-date of Apr. 1 2025,2025-04-01,0.097
ERC,Dividend,ERC announced a cash dividend of 0.073 with an ex-date of Apr. 11 2025,2025-04-11,0.073
GHI,Dividend,GHI announced a cash dividend of 0.37 with an ex-date of Mar. 31 2025,2025-03-31,0.37
WSBF,Dividend,WSBF announced a cash dividend of 0.15 with an ex-date of Apr. 8 2025,2025-04-08,0.15
ATNI,Dividend,ATNI announced a cash dividend of 0.24 with an ex-date of Mar. 31 2025,2025-03-31,0.24
PSF,Dividend,PSF announced a cash dividend of 0.126 with an ex-date of Apr. 8 2025,2025-04-08,0.126
NCZ,Dividend,NCZ announced a cash dividend of 0.12 with an ex-date of Apr. 11 2025,2025-04-11,0.12
PKBK,Dividend,PKBK announced a cash dividend of 0.18 with an ex-date of Apr. 4 2025,2025-04-04,0.18
BHR,Dividend,BHR announced a cash dividend of 0.05 with an ex-date of Mar. 31 2025,2025-03-31,0.05
ACV,Dividend,ACV announced a cash dividend of 0.18 with an ex-date of Apr. 11 2025,2025-04-11,0.18
TSI,Dividend,TSI announced a cash dividend of 0.065 with an ex-date of Mar. 31 2025,2025-03-31,0.065
CIO,Dividend,CIO announced a cash dividend of 0.10 with an ex-date of Apr. 10 2025,2025-04-10,0.10
ONL,Dividend,ONL announced a cash dividend of 0.02 with an ex-date of Mar. 31 2025,2025-03-31,0.02
FUNC,Dividend,FUNC announced a cash dividend of 0.22 with an ex-date of Apr. 17 2025,2025-04-17,0.22
ESOA,Dividend,ESOA announced a cash dividend of 0.03 with an ex-date of Mar. 31 2025,2025-03-31,0.03
LGI,Dividend,LGI announced a cash dividend of 0.146 with an ex-date of Apr. 10 2025,2025-04-10,0.146
ESCA,Dividend,ESCA announced a cash dividend of 0.15 with an ex-date of Apr. 7 2025,2025-04-07,0.15
ISTR,Dividend,ISTR announced a cash dividend of 0.105 with an ex-date of Mar. 31 2025,2025-03-31,0.105
MITT,Dividend,MITT announced a cash dividend of 0.20 with an ex-date of Mar. 31 2025,2025-03-31,0.20
EARN,Dividend,EARN announced a cash dividend of 0.08 with an ex-date of Mar. 31 2025,2025-03-31,0.08
MXF,Dividend,MXF announced a cash dividend of 0.22 with an ex-date of Apr. 22 2025,2025-04-22,0.22
AFCG,Dividend,AFCG announced a cash dividend of 0.23 with an ex-date of Mar. 31 2025,2025-03-31,0.23
WIA,Dividend,WIA announced a cash dividend of 0.052 with an ex-date of Apr. 23 2025,2025-04-23,0.052
DHF,Dividend,DHF announced a cash dividend of 0.018 with an ex-date of Apr. 9 2025,2025-04-09,0.018
BSL,Dividend,BSL announced a cash dividend of 0.097 with an ex-date of Apr. 23 2025,2025-04-23,0.097
VPV,Dividend,VPV announced a cash dividend of 0.067 with an ex-date of Apr. 16 2025,2025-04-16,0.067
TSE,Dividend,TSE announced a cash dividend of 0.01 with an ex-date of Apr. 10 2025,2025-04-10,0.01
CMCL,Dividend,CMCL announced a cash dividend of 0.14 with an ex-date of Apr. 4 2025,2025-04-04,0.14
IGI,Dividend,IGI announced a cash dividend of 0.071 with an ex-date of Apr. 23 2025,2025-04-23,0.071
VBF,Dividend,VBF announced a cash dividend of 0.07 with an ex-date of Apr. 16 2025,2025-04-16,0.07
FLC,Dividend,FLC announced a cash dividend of 0.094 with an ex-date of Apr. 23 2025,2025-04-23,0.094
OXSQ,Dividend,OXSQ announced a cash dividend of 0.035 with an ex-date of Apr. 16 2025,2025-04-16,0.035
UBFO,Dividend,UBFO announced a cash dividend of 0.12 with an ex-date of Apr. 7 2025,2025-04-07,0.12
TEAF,Dividend,TEAF announced a cash dividend of 0.09 with an ex-date of Apr. 23 2025,2025-04-23,0.09
BGX,Dividend,BGX announced a cash dividend of 0.086 with an ex-date of Apr. 23 2025,2025-04-23,0.086
TSQ,Dividend,TSQ announced a cash dividend of 0.20 with an ex-date of Apr. 17 2025,2025-04-17,0.20
VTN,Dividend,VTN announced a cash dividend of 0.068 with an ex-date of Apr. 16 2025,2025-04-16,0.068
MSD,Dividend,MSD announced a cash dividend of 0.22 with an ex-date of Mar. 31 2025,2025-03-31,0.22
IDE,Dividend,IDE announced a cash dividend of 0.10 with an ex-date of Apr. 1 2025,2025-04-01,0.10
EHI,Dividend,EHI announced a cash dividend of 0.07 with an ex-date of Apr. 23 2025,2025-04-23,0.07
MHF,Dividend,MHF announced a cash dividend of 0.034 with an ex-date of Apr. 23 2025,2025-04-23,0.034
OCCI,Dividend,OCCI announced a cash dividend of 0.115 with an ex-date of Apr. 17 2025,2025-04-17,0.115
PFD,Dividend,PFD announced a cash dividend of 0.061 with an ex-date of Apr. 23 2025,2025-04-23,0.061
GPMT,Dividend,GPMT announced a cash dividend of 0.05 with an ex-date of Apr. 1 2025,2025-04-01,0.05
