symbol,payout_ratio,fcf_coverage,debt_to_equity,status
MMM,4.26,7798989.77,0.29,This stock has a safe dividend.
AOS,1.68,39574939.42,0.06,This stock has a safe dividend.
ABT,5.04,179075639.79,0.22,This stock has a safe dividend.
ABBV,35.09,466328471.78,0.44,This stock has a safe dividend.
ACN,8.11,203244496.87,0.0,This stock has a safe dividend.
ADBE,0.04,22107406107.41,0.14,This stock has a safe dividend.
AMD,0.0,0.0,0.03,This stock does not pay a dividend.
AES,32.66,-745466917.4,0.53,This stock may have a risky dividend.
AFL,1.36,170409596.83,0.05,This stock has a safe dividend.
A,3.95,145126574.58,0.26,This stock has a safe dividend.
APD,2.8,-39340375.06,0.3,This stock may have a risky dividend.
ABNB,0.0,0.0,0.13,This stock does not pay a dividend.
AKAM,0.0,0.0,0.28,This stock does not pay a dividend.
ALB,1.37,-35759048.69,0.21,This stock may have a risky dividend.
ARE,39.31,18994116.9,0.3,This stock has a safe dividend.
AMP,45.76,0.0,0.0,This stock does not pay a dividend.